date,open,high,low,close,volume
2006-08-17,172.4,173.74,172.4,172.65,107129.0
2006-08-18,172.94,173.87,172.21,173.17,86745.0
2006-08-21,173.46,174.13,171.21,171.96,75497.0
2006-08-22,171.97,173.97,171.96,173.81,80168.0
2006-08-23,173.42,173.52,171.65,172.33,84952.0
2006-08-24,171.94,171.97,170.23,171.08,71978.0
2006-08-25,171.32,173.58,171.24,172.92,94181.0
2006-08-28,172.98,173.79,172.27,172.64,73960.0
2006-08-29,173.79,174.94,173.78,174.79,94640.0
2006-08-30,175.01,175.08,173.71,174.16,96635.0
2006-08-31,175.08,176.71,174.51,175.44,116032.0
2006-09-01,175.73,176.06,175.03,175.99,87564.0
2006-09-04,176.97,177.14,176.32,176.32,81634.0
2006-09-05,176.57,176.9,175.99,176.75,89954.0
2006-09-06,176.91,177.25,175.7,176.19,84668.0
2006-09-07,175.49,175.83,174.27,175.43,86229.0
2006-09-08,174.7,176.29,174.58,175.78,92992.0
2006-09-11,176.06,176.06,172.93,173.0,72054.0
2006-09-12,173.02,173.77,171.71,172.28,96290.0
2006-09-13,174.05,174.16,172.85,172.93,77901.0
2006-09-14,172.96,176.35,172.3,176.35,111978.0
2006-09-15,175.85,176.53,175.21,176.51,83610.0
2006-09-18,176.38,178.81,176.08,178.28,107672.0
2006-09-19,178.41,178.92,177.81,178.32,88364.0
2006-09-20,177.3,177.71,175.81,177.34,84485.0
2006-09-21,178.24,178.99,176.87,177.31,92123.0
2006-09-22,176.22,176.48,174.27,175.0,108576.0
2006-09-25,175.04,176.45,174.69,176.03,81732.0
2006-09-26,176.78,176.9,173.88,174.58,89874.0
2006-09-27,175.65,176.93,175.62,176.74,108475.0
2006-09-28,177.09,178.36,176.61,178.21,109562.0
2006-09-29,178.67,178.95,177.56,178.05,123415.0
2006-10-02,177.91,179.43,177.53,178.46,141488.0
2006-10-04,177.4,178.21,174.68,175.48,114791.0
2006-10-09,176.22,177.43,169.57,171.78,165877.0
2006-10-10,172.31,173.65,172.24,172.78,114987.0
2006-10-11,171.47,173.43,171.23,172.51,93764.0
